Unnamed: 0,latitude,longitude,nrides
501,42.2970707071,-71.1878787879,-17.4545461347
502,42.2970707071,-71.1857575758,-17.2730557947
503,42.2970707071,-71.1836363636,-17.0886613694
504,42.2970707071,-71.1815151515,-16.9025691859
505,42.2970707071,-71.1793939394,-16.7167996744
506,42.2970707071,-71.1772727273,-16.5319082085
507,42.2970707071,-71.1751515152,-16.3430425706
508,42.2970707071,-71.173030303,-16.1419576243
509,42.2970707071,-71.1709090909,-15.9473041684
510,42.2970707071,-71.1687878788,-15.7646101058
511,42.2970707071,-71.1666666667,-15.5743885224
512,42.2970707071,-71.1645454545,-15.3891698337
513,42.2970707071,-71.1624242424,-15.1888377596
514,42.2970707071,-71.1603030303,-14.9599111235
515,42.2970707071,-71.1581818182,-14.7020951652
516,42.2970707071,-71.1560606061,-14.4225318675
517,42.2970707071,-71.1539393939,-14.1384895269
518,42.2970707071,-71.1518181818,-13.8591623346
519,42.2970707071,-71.1496969697,-13.5858797029
520,42.2970707071,-71.1475757576,-13.3464292472
521,42.2970707071,-71.1454545455,-13.1373983112
522,42.2970707071,-71.1433333333,-12.959471078
523,42.2970707071,-71.1412121212,-12.7862304577
524,42.2970707071,-71.1390909091,-12.5851110982
525,42.2970707071,-71.136969697,-12.3320558371
526,42.2970707071,-71.1348484848,-11.991984722
527,42.2970707071,-71.1327272727,-11.5424881366
528,42.2970707071,-71.1306060606,-10.978948948
529,42.2970707071,-71.1284848485,-10.281092572
530,42.2970707071,-71.1263636364,-9.41292918722
531,42.2970707071,-71.1242424242,-8.28148450063
532,42.2970707071,-71.1221212121,-6.75265622722
533,42.2970707071,-71.12,-4.76775203804
534,42.2970707071,-71.1178787879,-2.51184708043
535,42.2970707071,-71.1157575758,-0.509089429058
536,42.2970707071,-71.1136363636,0.626631212895
537,42.2970707071,-71.1115151515,0.554789870333
538,42.2970707071,-71.1093939394,-0.544301037257
539,42.2970707071,-71.1072727273,-1.9983692011
540,42.2970707071,-71.1051515152,-3.12956593727
541,42.2970707071,-71.103030303,-3.74988982228
542,42.2970707071,-71.1009090909,-3.96104398833
543,42.2970707071,-71.0987878788,-4.0137207098
544,42.2970707071,-71.0966666667,-4.10301033039
545,42.2970707071,-71.0945454545,-4.33071665697
546,42.2970707071,-71.0924242424,-4.74412050374
547,42.2970707071,-71.0903030303,-5.36083693013
548,42.2970707071,-71.0881818182,-6.15891694875
549,42.2970707071,-71.0860606061,-7.08042960761
550,42.2970707071,-71.0839393939,-8.07712458529
551,42.2970707071,-71.0818181818,-9.09102702134
552,42.2970707071,-71.0796969697,-10.0390237253
553,42.2970707071,-71.0775757576,-10.8262855233
554,42.2970707071,-71.0754545455,-11.4040449659
555,42.2970707071,-71.0733333333,-11.6990416239
556,42.2970707071,-71.0712121212,-11.668351173
557,42.2970707071,-71.0690909091,-11.3101020547
558,42.2970707071,-71.066969697,-10.73624916
559,42.2970707071,-71.0648484848,-10.1731630112
560,42.2970707071,-71.0627272727,-9.918058183
561,42.2970707071,-71.0606060606,-10.1753186238
562,42.2970707071,-71.0584848485,-10.9190981973
563,42.2970707071,-71.0563636364,-11.8710836817
564,42.2970707071,-71.0542424242,-12.516133314
565,42.2970707071,-71.0521212121,-12.6791583214
566,42.2970707071,-71.05,-12.3508259346
567,42.2970707071,-71.0478787879,-11.6719783704
568,42.2970707071,-71.0457575758,-10.8372906431
569,42.2970707071,-71.0436363636,-10.0190718651
570,42.2970707071,-71.0415151515,-9.34921181292
571,42.2970707071,-71.0393939394,-8.89080984606
