latitude,longitude,nrides
42.2970707071,-71.1836363636,-19.7065017057
42.2970707071,-71.1815151515,-19.6668069618
42.2970707071,-71.1793939394,-19.6100885446
42.2970707071,-71.1772727273,-19.5316448323
42.2970707071,-71.1751515152,-19.4264582882
42.2970707071,-71.173030303,-19.2894530301
42.2970707071,-71.1709090909,-19.115689043
42.2970707071,-71.1687878788,-18.9003679706
42.2970707071,-71.1666666667,-18.638544245
42.2970707071,-71.1645454545,-18.3245182085
42.2970707071,-71.1624242424,-17.9510235897
42.2970707071,-71.1603030303,-17.5084688601
42.2970707071,-71.1581818182,-16.9845926995
42.2970707071,-71.1560606061,-16.3648977518
42.2970707071,-71.1539393939,-15.6341126527
42.2970707071,-71.1518181818,-14.7787133081
42.2970707071,-71.1496969697,-13.7902489035
42.2970707071,-71.1475757576,-12.6689174125
42.2970707071,-71.1454545455,-11.4265838848
42.2970707071,-71.1433333333,-10.0883199864
42.2970707071,-71.1412121212,-8.69166980109
42.2970707071,-71.1390909091,-7.28328803013
42.2970707071,-71.136969697,-5.9133102148
42.2970707071,-71.1348484848,-4.62858168636
42.2970707071,-71.1327272727,-3.4663369588
42.2970707071,-71.1306060606,-2.44976810591
42.2970707071,-71.1284848485,-1.58614810777
42.2970707071,-71.1263636364,-0.867323487096
42.2970707071,-71.1242424242,-0.272320842539
42.2970707071,-71.1221212121,0.227388443527
42.2970707071,-71.12,0.659451746035
42.2970707071,-71.1178787879,1.04117297951
42.2970707071,-71.1157575758,1.37459010504
42.2970707071,-71.1136363636,1.650879829
42.2970707071,-71.1115151515,1.86226968432
42.2970707071,-71.1093939394,2.01239040526
42.2970707071,-71.1072727273,2.02988649305
42.2970707071,-71.1051515152,1.95226752814
42.2970707071,-71.103030303,1.88566677283
42.2970707071,-71.1009090909,1.83369295235
42.2970707071,-71.0987878788,1.79635984303
42.2970707071,-71.0966666667,1.7779749625
42.2970707071,-71.0945454545,1.78933057229
42.2970707071,-71.0924242424,1.8456073281
42.2970707071,-71.0903030303,1.96200294342
42.2970707071,-71.0881818182,2.14848754397
42.2970707071,-71.0860606061,2.40482714379
42.2970707071,-71.0839393939,2.66071728889
42.2970707071,-71.0818181818,2.94494862269
42.2970707071,-71.0796969697,3.15079362581
42.2970707071,-71.0775757576,3.15772966518
42.2970707071,-71.0754545455,3.10272916856
42.2970707071,-71.0733333333,2.98929166561
42.2970707071,-71.0712121212,2.8321587289
42.2970707071,-71.0690909091,2.64976804149
42.2970707071,-71.066969697,2.45415962961
42.2970707071,-71.0648484848,2.24189330038
42.2970707071,-71.0627272727,1.99064653178
42.2970707071,-71.0606060606,1.66462172756
42.2970707071,-71.0584848485,1.22605166454
42.2970707071,-71.0563636364,0.644554254378
42.2970707071,-71.0542424242,-0.0924785721442
42.2970707071,-71.0521212121,-0.852319381706
42.2970707071,-71.05,-1.60317031017
42.2970707071,-71.0478787879,-2.31545420452
42.2970707071,-71.0457575758,-2.96434784068
42.2970707071,-71.0436363636,-3.53569948817
42.2970707071,-71.0415151515,-4.03031900713
42.2970707071,-71.0393939394,-4.46367671214
42.2970707071,-71.0372727273,-4.86148502716
42.2970707071,-71.0351515152,-5.25363811165
42.2970707071,-71.033030303,-5.66885914128
42.2970707071,-71.0309090909,-6.13123401691
42.2970707071,-71.0287878788,-6.6586398948
42.2970707071,-71.0266666667,-7.26240024471
42.2970707071,-71.0245454545,-7.94738118198
42.2970707071,-71.0224242424,-8.71202901567
42.2970707071,-71.0203030303,-9.54829549053
42.2970707071,-71.0181818182,-10.4417659244
42.2970707071,-71.0160606061,-11.3724248557
42.2970707071,-71.0139393939,-12.3163191777
42.2970707071,-71.0118181818,-13.2480130107
42.2970707071,-71.0096969697,-14.1433705705
42.2970707071,-71.0075757576,-14.9820381534
42.2970707071,-71.0054545455,-15.7490948429
42.2970707071,-71.0033333333,-16.4356334866
42.2970707071,-71.0012121212,-17.0383657314
42.2970707071,-70.9990909091,-17.5585757709
42.2970707071,-70.996969697,-18.0008143741
42.2970707071,-70.9948484848,-18.3716524593
42.2970707071,-70.9927272727,-18.6786752401
42.2970707071,-70.9906060606,-18.9297660698
42.2970707071,-70.9884848485,-19.1326441312
42.2970707071,-70.9863636364,-19.2945874222
42.2970707071,-70.9842424242,-19.4222760032
42.2970707071,-70.9821212121,-19.5217093952
42.2970707071,-70.98,-19.5981713144
42.2984848485,-71.19,-19.7373479204
42.2984848485,-71.1878787879,-19.7276196961
42.2984848485,-71.1857575758,-19.711435451
42.2984848485,-71.1836363636,-19.686263097
42.2984848485,-71.1815151515,-19.6489118829
42.2984848485,-71.1793939394,-19.5955469275
42.2984848485,-71.1772727273,-19.5217079403
42.2984848485,-71.1751515152,-19.4223374091
42.2984848485,-71.173030303,-19.2918124615
42.2984848485,-71.1709090909,-19.1239544586
42.2984848485,-71.1687878788,-18.9119731341
42.2984848485,-71.1666666667,-18.6483061429
42.2984848485,-71.1645454545,-18.3243542888
42.2984848485,-71.1624242424,-17.9301858246
42.2984848485,-71.1603030303,-17.4543682339
42.2984848485,-71.1581818182,-16.8841471976
42.2984848485,-71.1560606061,-16.2061952705
42.2984848485,-71.1539393939,-15.4080776783
42.2984848485,-71.1518181818,-14.4804315733
42.2984848485,-71.1496969697,-13.4196487212
42.2984848485,-71.1475757576,-12.2306254234
42.2984848485,-71.1454545455,-10.9289503662
42.2984848485,-71.1433333333,-9.54181639833
42.2984848485,-71.1412121212,-8.10705284773
42.2984848485,-71.1390909091,-6.67003539774
42.2984848485,-71.136969697,-5.27879604763
42.2984848485,-71.1348484848,-3.97823994295
